Player,MP,Min,GA,GA90,SoTA,Saves,SavePercentage,CS,PKatt,PKsv,season_name
Bernd Leno,30,2649,39,1.33,151,111,78.1,7,7,1,2019-2020
Emiliano Martínez,9,771,9,1.05,42,33,81,3,1,0,2019-2020
Bernd Leno,35,3131,37,1.06,117,83,69.2,11,2,1,2020-2021
Mathew Ryan,3,270,2,0.67,10,8,90,1,1,0,2020-2021
Rúnar Alex Rúnarsson,1,16,0,0,2,2,100,0,0,0,2020-2021
Aaron Ramsdale,34,3060,39,1.15,128,90,73.4,12,6,0,2021-2022
Bernd Leno,4,360,9,2.25,19,10,52.6,1,0,0,2021-2022
Aaron Ramsdale,38,3420,43,1.13,136,94,70.6,14,5,0,2022-2023
David Raya,19,1710,18,0.95,49,31,65.3,7,2,1,2023-2024
Aaron Ramsdale,5,450,4,0.8,10,6,60,2,0,0,2023-2024
