Player,CompletedPass,AttemptedPass,PassCompletionPercent,KeyPass,KeyPass_Final3rd,PassesPenaltyArea,season_name
Pierre-Emerick Aubameyang,614,912,67.3,26,25,47,2019-2020
David Luiz,1537,1816,84.6,4,100,9,2019-2020
Bernd Leno,762,990,77,0,2,0,2019-2020
Granit Xhaka,1695,1944,87.2,16,197,22,2019-2020
Nicolas Pépé,610,824,74,39,28,30,2019-2020
Alexandre Lacazette,391,521,75,24,25,23,2019-2020
Bukayo Saka,646,845,76.4,21,37,19,2019-2020
Mattéo Guendouzi,1027,1170,87.8,12,141,20,2019-2020
Sead Kolašinac,877,1041,84.2,10,46,13,2019-2020
Sokratis Papastathopoulos,914,1043,87.6,2,35,1,2019-2020
Dani Ceballos,1114,1329,83.8,28,120,29,2019-2020
Mesut Özil,758,913,83,37,63,25,2019-2020
Lucas Torreira,798,919,86.8,15,52,5,2019-2020
Ainsley Maitland-Niles,841,1025,82,11,44,13,2019-2020
Shkodran Mustafi,693,848,81.7,3,48,1,2019-2020
Héctor Bellerín,575,711,80.9,3,39,7,2019-2020
Calum Chambers,732,915,80,7,46,6,2019-2020
Kieran Tierney,426,571,74.6,6,21,10,2019-2020
Joe Willock,287,359,79.9,12,34,8,2019-2020
Emiliano Martínez,212,293,72.4,0,6,0,2019-2020
Eddie Nketiah,105,141,74.5,5,6,3,2019-2020
Reiss Nelson,186,232,80.2,9,9,8,2019-2020
Gabriel Martinelli,82,140,58.6,2,3,5,2019-2020
Rob Holding,307,354,86.7,0,13,2,2019-2020
Nacho Monreal,178,207,86,3,6,1,2019-2020
Cédric Soares,96,135,71.1,1,6,2,2019-2020
Pablo Marí,85,100,85,0,6,0,2019-2020
Henrikh Mkhitaryan,56,76,73.7,2,4,2,2019-2020
Emile Smith Rowe,30,36,83.3,0,2,0,2019-2020
Bernd Leno,948,1182,80.2,0,3,0,2020-2021
Bukayo Saka,858,1161,73.9,38,55,31,2020-2021
Granit Xhaka,2011,2239,89.8,17,271,26,2020-2021
Rob Holding,1578,1819,86.8,4,123,6,2020-2021
Pierre-Emerick Aubameyang,499,674,74,22,29,22,2020-2021
Kieran Tierney,1130,1523,74.2,31,64,31,2020-2021
Héctor Bellerín,1080,1324,81.6,20,69,26,2020-2021
Gabriel Dos Santos,1332,1559,85.4,2,67,3,2020-2021
Alexandre Lacazette,405,523,77.4,22,32,19,2020-2021
Thomas Partey,994,1149,86.5,12,143,11,2020-2021
Emile Smith Rowe,648,746,86.9,27,45,14,2020-2021
Dani Ceballos,1126,1310,86,27,125,18,2020-2021
Mohamed Elneny,944,1019,92.6,4,77,5,2020-2021
David Luiz,836,1013,82.5,2,66,9,2020-2021
Nicolas Pépé,519,690,75.2,11,16,17,2020-2021
Willian,625,790,79.1,32,34,33,2020-2021
Pablo Marí,552,630,87.6,2,13,0,2020-2021
Martin Ødegaard,462,533,86.7,20,43,18,2020-2021
Calum Chambers,466,593,78.6,11,29,12,2020-2021
Cédric Soares,349,469,74.4,6,33,6,2020-2021
Gabriel Martinelli,121,159,76.1,9,3,6,2020-2021
Ainsley Maitland-Niles,226,291,77.7,2,19,4,2020-2021
Eddie Nketiah,76,93,81.7,8,4,2,2020-2021
Mathew Ryan,63,68,92.6,1,0,0,2020-2021
Joe Willock,68,93,73.1,2,6,4,2020-2021
Sead Kolašinac,57,67,85.1,0,3,1,2020-2021
Reiss Nelson,17,29,58.6,0,3,1,2020-2021
Shkodran Mustafi,44,50,88,0,2,0,2020-2021
Rúnar Alex Rúnarsson,7,11,63.6,0,0,0,2020-2021
Bukayo Saka,893,1196,74.7,68,40,31,2021-2022
Gabriel Dos Santos,1828,2049,89.2,9,126,2,2021-2022
Aaron Ramsdale,795,1178,67.5,0,26,0,2021-2022
Ben White,1554,1839,84.5,13,148,2,2021-2022
Martin Ødegaard,1368,1633,83.8,77,113,71,2021-2022
Granit Xhaka,1367,1589,86,32,194,41,2021-2022
Thomas Partey,1032,1214,85,17,120,12,2021-2022
Kieran Tierney,900,1165,77.3,20,81,24,2021-2022
Emile Smith Rowe,682,823,82.9,30,41,20,2021-2022
Gabriel Martinelli,439,611,71.8,34,11,16,2021-2022
Alexandre Lacazette,343,455,75.4,29,30,19,2021-2022
Takehiro Tomiyasu,888,1098,80.9,13,91,17,2021-2022
Cédric Soares,873,1112,78.5,18,86,22,2021-2022
Nuno Tavares,581,727,79.9,10,37,10,2021-2022
Albert Sambi Lokonga,727,824,88.2,18,68,14,2021-2022
Pierre-Emerick Aubameyang,137,208,65.9,9,6,8,2021-2022
Rob Holding,420,483,87,0,30,0,2021-2022
Eddie Nketiah,175,230,76.1,13,7,4,2021-2022
Mohamed Elneny,528,565,93.5,9,59,2,2021-2022
Nicolas Pépé,283,365,77.5,12,12,9,2021-2022
Bernd Leno,76,115,66.1,0,0,0,2021-2022
Ainsley Maitland-Niles,106,138,76.8,3,16,4,2021-2022
Pablo Marí,79,92,85.9,1,6,0,2021-2022
Calum Chambers,77,97,79.4,1,5,1,2021-2022
Sead Kolašinac,13,16,81.3,0,1,0,2021-2022
Folarin Balogun,4,9,44.4,0,0,0,2021-2022
Reiss Nelson,8,12,66.7,1,0,0,2021-2022
Aaron Ramsdale,761,1111,68.5,0,30,2,2022-2023
Gabriel Dos Santos,2155,2411,89.4,5,171,3,2022-2023
Bukayo Saka,1054,1430,73.7,75,50,66,2022-2023
Martin Ødegaard,1449,1804,80.3,76,135,91,2022-2023
Ben White,1888,2242,84.2,26,226,42,2022-2023
Granit Xhaka,1382,1632,84.7,47,148,40,2022-2023
Gabriel Martinelli,833,1107,75.2,59,33,43,2022-2023
Thomas Partey,1731,1985,87.2,26,231,24,2022-2023
William Saliba,1698,1865,91,6,111,3,2022-2023
Oleksandr Zinchenko,1652,1911,86.4,19,201,41,2022-2023
Gabriel Jesus,561,699,80.3,31,31,22,2022-2023
Leandro Trossard,347,452,76.8,22,20,30,2022-2023
Eddie Nketiah,205,255,80.4,9,9,6,2022-2023
Jorginho,641,736,87.1,5,84,12,2022-2023
Kieran Tierney,362,486,74.5,4,35,9,2022-2023
Takehiro Tomiyasu,384,474,81,4,41,6,2022-2023
Rob Holding,382,442,86.4,0,23,1,2022-2023
Jakub Kiwior,177,205,86.3,1,6,0,2022-2023
Fabio Vieira,234,290,80.7,12,26,7,2022-2023
Albert Sambi Lokonga,132,140,94.3,1,17,1,2022-2023
Mohamed Elneny,57,60,95,0,3,2,2022-2023
Reiss Nelson,101,120,84.2,9,3,4,2022-2023
Emile Smith Rowe,74,85,87.1,6,3,4,2022-2023
Cédric Soares,19,24,79.2,0,0,0,2022-2023
Marquinhos,2,3,66.7,0,0,0,2022-2023
Ethan Nwaneri,0,0,0,0,0,0,2022-2023
William Saliba,1717,1856,92.5,5,109,4,2023-2024
Declan Rice,1501,1661,90.4,23,191,21,2023-2024
Bukayo Saka,800,1059,75.5,61,25,50,2023-2024
Martin Ødegaard,1054,1238,85.1,61,94,66,2023-2024
Ben White,1198,1417,84.5,19,107,27,2023-2024
Gabriel Dos Santos,1139,1298,87.8,3,103,4,2023-2024
Gabriel Martinelli,565,725,77.9,32,21,28,2023-2024
David Raya,478,628,76.1,0,20,0,2023-2024
Oleksandr Zinchenko,1166,1326,87.9,24,134,41,2023-2024
Kai Havertz,457,556,82.2,22,42,15,2023-2024
Gabriel Jesus,296,377,78.5,23,13,14,2023-2024
Eddie Nketiah,156,195,80,8,6,4,2023-2024
Leandro Trossard,267,383,69.7,13,15,19,2023-2024
Takehiro Tomiyasu,397,478,83.1,2,41,7,2023-2024
Jorginho,368,410,89.8,5,49,8,2023-2024
Aaron Ramsdale,113,151,74.8,0,4,0,2023-2024
Jakub Kiwior,249,291,85.6,2,21,4,2023-2024
Thomas Partey,229,252,90.9,3,28,8,2023-2024
Fabio Vieira,91,115,79.1,3,9,3,2023-2024
Emile Smith Rowe,117,133,88,2,9,8,2023-2024
Jurriën Timber,44,49,89.8,0,9,0,2023-2024
Reiss Nelson,68,81,84,2,1,3,2023-2024
Mohamed Elneny,35,36,97.2,0,2,0,2023-2024
Ethan Nwaneri,15,18,83.3,1,1,2,2023-2024
Cédric Soares,8,10,80,0,1,0,2023-2024
